#Детали с нашего склада
555;X555-
AD;xad-
Airline;xair-
Airtex;XAX-
Aisin;XAI-
Ajusa;XAJ-
Akebono;XAK-
ASAM-SA;XASM-
ASP Mensan;xms-
ASSO;XSS-
Atiho;xat-
AutoTechteile;xatt-
AVA;XAV-
Big Filter;xbig-
Bilstein;XBI-
BluePrint;XBLP-
BOSCH;XBS-
Brembo;XBR-
BOSCH;xbsa-
Bosch;XBSE-
BP;XBP-
Bremi;XBM-
Caffaro;xcaf-
Camellia;XCM-
CAN Otomotiv;xcan-
Castrol;XSL-
CF S.r.l.;xcf-
Contitech;XCO-
Corteco;XC-
CTR;XCR-
Dayco;XDA-
Delphi;XDL-
Denso;XDE-
DP Group;XDPG-
Echoparts;xech-
Elring;XEL-
Elwis;XES-
EPS;XEP-
ERA;XERA-
ETecno1;XCI-
Exide;XED-
FAE;XFE-
FAG;XFG-
Febest;XFBS-
Frenkit;xfrk-
Febi;FB-
Federal Mogul;XFM-
Fenno Steel;FS-
Fenox;F-
Filtron;xft-
Fischer Automotive 1;XFA1-
Forcetech;xfrc-
Freccia;XFC-
Frig Air;xfra-
Frixa;xfx-
Gates;xgts-
GLO;XGLO-
GMB;XGMB-
Graf;XG-
GSP;XGS-
Hans Pries;HP-
Hanse;xha-
Hella;XHE-
HKT;XHKT-
Holzer;XHZ-
Huco;XHU-
InterParts;XITP-
Jakoparts;XJK-
JapanParts;XJP-
JP Group;XJPG-
Jikiu;XJIK-
KS;XMSE-
K+F;XKF-
K1;xk1-
Kashiyama;XKA-
Kayaba;XK-
Klokkerholm;XKK-
Koyo;XKY-
KraftTech;xkt-
Leart;XL-
Lemfoerder;XLE-
Lesjofors;XLF-
Liqui Moly;xlm1-
Lobro;XLO-
LPR;xlpr-
Luk;XLU-
Magneti Marelli;XMM-
Mahle;XML-
Malo;XMA-
Mando;XMAN-
Mann+Hummel;xmn-
Mapco;XMC-
Mobiletron;xmbt-
Mobil;xmbl-
MecDiesel;XMD-
Metelli;XM-
Miles;xmil-
Mintex;XMI-
Mitsubishi Electric;XMEL-
Monroe;XMO-
Narva;XNA-
NGK;XNG-
NiBK;xnib-
Nipparts;XNIP-
Nissens;XNI-
NK;xnk-
OBK;xobk-
